,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,60.06,63,75,10.36,broken clouds
1,Butaritari,KI,3.0707,172.7902,82.38,74,94,16.75,overcast clouds
2,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,6.91,broken clouds
3,Pitanga,BR,-24.7572,-51.7614,59.25,84,80,2.98,broken clouds
4,Jamestown,US,42.097,-79.2353,44.71,50,0,9.22,clear sky
5,Albany,US,42.6001,-73.9662,47.34,67,100,4.47,overcast clouds
6,Souillac,MU,-20.5167,57.5167,73.78,64,20,13.8,few clouds
7,Sinnamary,GF,5.3833,-52.95,78.35,89,100,7.99,overcast clouds
8,Barrow,US,71.2906,-156.7887,26.62,80,75,11.5,broken clouds
9,Severo-Kurilsk,RU,50.6789,156.125,49.14,69,96,13.38,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,74.5,72,55,4.79,broken clouds
11,Tigzirt,DZ,36.8886,4.1198,74.66,56,42,5.41,scattered clouds
12,New Norfolk,AU,-42.7826,147.0587,59.72,43,100,5.21,overcast clouds
13,Thompson,CA,55.7435,-97.8558,59.16,58,20,10.36,few clouds
14,Hasaki,JP,35.7333,140.8333,81.28,61,94,4.41,overcast clouds
15,Russell,US,32.3502,-85.1999,64.96,68,0,6.91,clear sky
16,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,86,62,10.25,broken clouds
17,Esperance,AU,-33.8667,121.9,57.0,76,97,20.04,overcast clouds
18,Vaini,TO,-21.2,-175.2,77.16,78,75,9.22,broken clouds
19,Georgetown,MY,5.4112,100.3354,87.73,73,20,8.05,few clouds
20,Gaya,IN,24.7833,85.0,84.11,84,75,0.0,mist
21,Bluff,NZ,-46.6,168.3333,47.8,51,91,19.42,overcast clouds
22,Lompoc,US,34.6391,-120.4579,60.01,90,0,4.61,clear sky
23,Qaanaaq,GL,77.484,-69.3632,6.31,73,64,7.92,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,60.19,90,38,8.01,scattered clouds
25,Calabozo,VE,8.9242,-67.4293,73.83,92,15,1.83,few clouds
26,Ushuaia,AR,-54.8,-68.3,38.86,75,0,2.3,clear sky
27,Luderitz,NA,-26.6481,15.1594,56.34,76,0,15.28,clear sky
28,Port-Cartier,CA,50.0334,-66.8654,38.88,61,15,5.35,few clouds
29,Mezhdurechensk,RU,53.6942,88.0603,41.05,41,12,2.64,few clouds
30,Okhotsk,RU,59.3833,143.3,40.48,60,82,10.76,broken clouds
31,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,9.37,moderate rain
32,Dikson,RU,73.5069,80.5464,31.57,94,100,24.36,overcast clouds
33,Hermanus,ZA,-34.4187,19.2345,53.8,84,95,10.6,overcast clouds
34,Vostok,RU,46.4856,135.8833,59.04,70,96,5.21,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,9.22,clear sky
36,Rundu,NA,-17.9333,19.7667,63.12,28,11,4.16,few clouds
37,Cape Town,ZA,-33.9258,18.4232,59.88,86,40,8.05,scattered clouds
38,Gobabis,NA,-22.45,18.9667,64.24,21,0,7.38,clear sky
39,Kushima,JP,31.4583,131.2333,80.6,69,65,6.89,broken clouds
40,Bredasdorp,ZA,-34.5322,20.0403,53.82,89,100,7.56,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,63.55,96,90,4.0,overcast clouds
42,Muisne,EC,0.6,-80.0333,74.88,86,95,4.7,overcast clouds
43,Port-Gentil,GA,-0.7193,8.7815,77.09,87,100,10.02,light rain
44,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.36,89,99,2.44,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,47.48,48,95,8.95,overcast clouds
46,Cidreira,BR,-30.1811,-50.2056,59.81,88,2,2.51,clear sky
47,Bandarbeyla,SO,9.4942,50.8122,77.45,77,95,20.76,overcast clouds
48,Atuona,PF,-9.8,-139.0333,76.93,74,44,20.31,scattered clouds
49,Yellowknife,CA,62.456,-114.3525,34.32,86,0,4.61,clear sky
50,Avarua,CK,-21.2078,-159.775,73.45,68,20,14.97,few clouds
51,Busselton,AU,-33.65,115.3333,62.53,43,62,9.55,broken clouds
52,Richards Bay,ZA,-28.783,32.0377,69.55,87,0,11.32,clear sky
53,Wilmington,US,34.2257,-77.9447,63.0,83,100,11.5,overcast clouds
54,Tocopilla,CL,-22.092,-70.1979,60.39,67,21,1.54,few clouds
55,Belyy Yar,RU,53.6039,91.3903,37.29,60,0,2.24,clear sky
56,Iqaluit,CA,63.7506,-68.5145,28.13,79,20,6.91,few clouds
57,Kapaa,US,22.0752,-159.319,80.58,77,75,13.8,broken clouds
58,Teguldet,RU,57.3064,88.1667,37.69,55,47,1.05,scattered clouds
59,Maceio,BR,-9.6658,-35.7353,71.04,94,20,3.44,few clouds
60,Paamiut,GL,61.994,-49.6678,33.06,59,47,6.08,scattered clouds
61,Clyde River,CA,70.4692,-68.5914,26.83,86,100,4.61,overcast clouds
62,Mehamn,NO,71.0357,27.8492,39.15,93,75,2.3,broken clouds
63,Bubaque,GW,11.2833,-15.8333,81.34,75,83,8.3,light rain
64,Tshikapa,CD,-6.4167,20.8,66.65,95,78,1.41,broken clouds
65,Cayenne,GF,4.9333,-52.3333,75.24,100,0,0.0,clear sky
66,Lagoa,PT,39.05,-27.9833,70.81,85,47,4.38,light rain
67,Cam Ranh,VN,11.9214,109.1591,87.76,66,20,5.75,few clouds
68,Yelizovo,RU,53.1873,158.3805,50.14,53,75,7.0,broken clouds
69,Castro,BR,-24.7911,-50.0119,57.47,98,42,5.86,scattered clouds
70,Hilo,US,19.7297,-155.09,80.33,78,40,3.44,scattered clouds
71,Carnarvon,AU,-24.8667,113.6333,75.63,40,0,12.62,clear sky
72,Fort Frances,CA,48.5999,-93.4003,56.16,77,100,6.91,overcast clouds
73,Dingle,PH,10.9995,122.6711,87.35,69,77,8.14,broken clouds
74,Airai,TL,-8.9266,125.4092,73.54,64,98,0.94,overcast clouds
75,Isangel,VU,-19.55,169.2667,84.31,79,75,6.91,broken clouds
76,Husavik,IS,66.0449,-17.3389,45.88,78,74,12.91,broken clouds
77,Santa Rosa,PH,14.3122,121.1114,84.09,76,100,8.99,overcast clouds
78,Leshukonskoye,RU,64.8989,45.7622,35.29,98,56,3.85,broken clouds
79,Abha,SA,18.2164,42.5053,61.05,45,0,0.0,clear sky
80,Saint-Augustin,CA,51.226,-58.6502,36.16,63,0,8.7,clear sky
81,Hithadhoo,MV,-0.6,73.0833,81.84,68,94,14.05,overcast clouds
82,Ubon Ratchathani,TH,15.1667,105.1667,87.98,70,100,6.35,overcast clouds
83,Rio Gallegos,AR,-51.6226,-69.2181,50.05,50,75,24.16,broken clouds
84,Verkhnevilyuysk,RU,63.4453,120.3167,31.5,62,93,6.33,overcast clouds
85,Presidente Olegario,BR,-18.4178,-46.4181,69.73,76,100,3.31,overcast clouds
86,Trencin,SK,48.8333,18.25,51.37,80,88,11.18,overcast clouds
87,Nanortalik,GL,60.1432,-45.2371,36.45,79,37,10.13,scattered clouds
88,Port Augusta,AU,-32.5,137.7667,72.32,32,100,5.64,light rain
89,Carmelo,UY,-33.9892,-58.2856,52.36,83,5,10.49,clear sky
90,Tuscaloosa,US,33.2098,-87.5692,66.85,67,0,0.0,clear sky
91,Port Hedland,AU,-20.3167,118.5667,82.45,54,0,14.97,clear sky
92,Narsaq,GL,60.9167,-46.05,35.82,63,52,5.48,broken clouds
93,Lincoln,US,40.8,-96.667,67.28,53,0,4.61,clear sky
94,Ryotsu,JP,38.0833,138.4333,73.17,67,100,4.99,overcast clouds
95,Indramayu,ID,-6.3264,108.32,85.55,65,100,7.63,overcast clouds
96,Vangaindrano,MG,-23.35,47.6,67.59,76,0,7.38,clear sky
97,Tuatapere,NZ,-46.1333,167.6833,49.08,56,84,12.15,broken clouds
98,Victoria,HK,22.2855,114.1577,92.97,83,32,4.0,scattered clouds
99,Phuket,TH,8.0,98.25,85.08,89,75,3.44,light rain
100,Leh,IN,34.1667,77.5833,47.7,41,1,4.54,clear sky
101,Komsomolskiy,UZ,40.4272,71.7189,65.12,34,49,6.91,scattered clouds
102,Sharjah,AE,25.3573,55.4033,85.98,74,1,6.91,haze
103,Kodiak,US,57.79,-152.4072,51.31,71,100,9.22,overcast clouds
104,Kushchevskaya,RU,46.5564,39.6386,57.74,64,90,15.3,overcast clouds
105,Itoman,JP,26.1247,127.6694,89.62,62,40,14.97,scattered clouds
106,Saldanha,ZA,-33.0117,17.9442,57.25,89,100,3.24,overcast clouds
107,Nancha,CN,47.1333,129.2667,38.39,98,100,6.11,overcast clouds
108,Kaitangata,NZ,-46.2817,169.8464,50.07,55,75,14.14,broken clouds
109,Grand Baie,MU,-20.0182,57.5802,74.44,61,67,7.0,broken clouds
110,Lexington,US,37.9887,-84.4777,60.8,63,100,10.36,overcast clouds
111,Manicore,BR,-5.8092,-61.3003,75.15,94,0,2.3,clear sky
112,Pahrump,US,36.2083,-115.9839,81.25,30,0,1.99,clear sky
113,Petaluma,US,38.2324,-122.6367,63.93,78,40,4.61,scattered clouds
114,Huarmey,PE,-10.0681,-78.1522,62.4,86,49,7.45,scattered clouds
115,Brewster,US,41.3973,-73.6171,51.55,59,100,1.01,overcast clouds
116,Solnechnyy,RU,50.7214,136.6319,42.28,97,100,4.88,heavy intensity rain
117,Mercedes,AR,-34.6515,-59.4307,58.03,80,16,9.22,few clouds
118,Beyneu,KZ,45.3167,55.2,53.64,38,2,17.98,clear sky
119,Mimongo,GA,-1.6195,11.6068,68.47,99,100,1.72,light rain
120,Januaria,BR,-15.4833,-44.3667,74.59,65,27,1.23,light rain
121,Pevek,RU,69.7008,170.3133,30.0,84,100,11.86,overcast clouds
122,Port Hardy,CA,50.6996,-127.4199,51.8,100,75,5.75,fog
123,San Patricio,US,28.017,-97.5169,77.85,52,98,4.23,overcast clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,84.51,56,33,1.01,scattered clouds
125,Ketchikan,US,55.3422,-131.6461,48.67,93,0,5.75,clear sky
126,Nome,US,64.5011,-165.4064,42.87,62,0,4.61,clear sky
127,Zabol,AF,32.25,67.25,64.35,21,0,8.88,clear sky
128,Kahului,US,20.8947,-156.47,77.02,90,100,8.05,light rain
129,Rawson,AR,-43.3002,-65.1023,47.66,70,100,18.57,overcast clouds
130,Shimanovsk,RU,52.0,127.7,38.62,33,1,13.31,clear sky
131,Ewa Beach,US,21.3156,-158.0072,80.55,83,40,4.61,scattered clouds
132,Sitka,US,57.0531,-135.33,49.89,81,75,3.44,broken clouds
133,Dillon,US,34.4166,-79.3712,61.14,81,100,12.8,overcast clouds
134,Saint George,US,37.1041,-113.5841,77.43,48,0,12.66,clear sky
135,Kamaishi,JP,39.2667,141.8833,70.84,73,100,10.31,overcast clouds
136,Podor,MR,16.6527,-14.9587,85.42,42,27,9.42,scattered clouds
137,Houma,US,29.5958,-90.7195,68.0,75,0,4.61,clear sky
138,Monrovia,LR,6.3005,-10.7969,75.18,92,99,7.05,moderate rain
139,Fukue,JP,32.6881,128.8419,80.96,74,75,13.8,broken clouds
140,Susanville,US,40.4163,-120.653,64.11,52,0,4.61,clear sky
141,Tomter,NO,59.65,11.0,42.58,96,6,1.45,clear sky
142,Leningradskiy,RU,69.3833,178.4167,29.93,89,100,3.91,overcast clouds
143,Capoterra,IT,39.1763,8.9718,66.52,84,0,6.91,clear sky
144,Sangmelima,CM,2.9333,11.9833,65.88,99,99,2.26,overcast clouds
145,Pingzhuang,CN,42.0372,119.2889,37.85,92,100,18.59,moderate rain
146,Aguimes,ES,27.9054,-15.4461,70.43,56,20,10.36,few clouds
147,Mar Del Plata,AR,-38.0023,-57.5575,50.09,81,75,10.36,broken clouds
148,Ambatondrazaka,MG,-17.8333,48.4167,58.39,75,2,1.66,clear sky
149,Colares,PT,38.7992,-9.4469,72.34,71,0,4.0,clear sky
150,Abalak,RU,58.1286,68.5944,40.24,50,100,11.61,overcast clouds
151,San Cristobal,VE,7.7669,-72.225,71.78,94,42,2.06,scattered clouds
152,Yulara,AU,-25.2406,130.9889,85.84,26,88,23.02,overcast clouds
153,Ekhabi,RU,53.5102,142.9671,46.18,70,100,13.51,overcast clouds
154,Saskylakh,RU,71.9167,114.0833,25.03,94,95,10.29,overcast clouds
155,Portland,US,45.5234,-122.6762,75.81,64,0,5.75,clear sky
156,Mogok,MM,22.9167,96.5,65.98,99,100,1.45,overcast clouds
157,Rocha,UY,-34.4833,-54.3333,47.03,83,3,7.65,clear sky
158,Vacaria,BR,-28.5122,-50.9339,45.5,97,14,4.56,few clouds
159,Klaksvik,FO,62.2266,-6.589,52.72,80,77,16.78,broken clouds
160,Ankpa,NG,7.3706,7.6253,69.84,96,98,2.55,light rain
161,Dawlatabad,AF,36.4141,64.9053,64.38,22,0,2.28,clear sky
162,Port Elizabeth,ZA,-33.918,25.5701,61.09,90,20,23.02,few clouds
163,Nikolskoye,RU,59.7035,30.7861,44.49,80,100,11.32,overcast clouds
164,Montepuez,MZ,-13.1256,38.9997,65.91,86,20,2.17,few clouds
165,Bethel,US,41.3712,-73.414,51.01,59,100,5.01,overcast clouds
166,Erzin,TR,36.9559,36.2,72.0,86,29,1.72,scattered clouds
167,Ilulissat,GL,69.2167,-51.1,33.82,80,100,5.75,overcast clouds
168,Port Blair,IN,11.6667,92.75,82.44,83,75,3.44,mist
169,Chuy,UY,-33.6971,-53.4616,50.74,89,7,7.94,clear sky
170,Bambous Virieux,MU,-20.3428,57.7575,74.21,64,20,13.8,light rain
171,Kavaratti,IN,10.5669,72.642,80.76,78,99,14.97,overcast clouds
172,Necochea,AR,-38.5473,-58.7368,41.49,88,34,6.76,scattered clouds
173,Harper,LR,4.375,-7.7169,75.69,91,100,5.82,light rain
174,Storsteinnes,NO,69.2408,19.2344,40.37,86,81,4.43,light snow
175,Pangoa,PE,-12.1167,-73.0,67.78,87,46,3.27,scattered clouds
176,Leticia,CO,-4.2153,-69.9406,73.45,94,20,0.0,few clouds
177,Shenjiamen,CN,29.9576,122.298,79.75,80,0,20.6,clear sky
178,Lasa,IT,46.6166,10.7002,46.36,96,84,7.63,broken clouds
179,Venice,US,27.0998,-82.4543,72.99,61,0,9.95,clear sky
180,Dabola,GN,10.75,-11.1167,69.22,98,41,0.72,light rain
181,East London,ZA,-33.0153,27.9116,61.74,94,0,12.66,clear sky
182,Caravelas,BR,-17.7125,-39.2481,72.72,95,22,6.46,few clouds
183,Saint-Pierre,RE,-21.3393,55.4781,74.88,56,0,2.3,clear sky
184,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,75,4.61,broken clouds
185,Mahabad,IR,36.7631,45.7222,64.96,26,7,8.03,clear sky
186,Grindavik,IS,63.8424,-22.4338,46.35,87,75,13.8,broken clouds
187,Honolulu,US,21.3069,-157.8583,80.42,82,75,12.66,light rain
188,Tres Picos,MX,15.8667,-93.5333,76.08,79,41,5.5,scattered clouds
189,Naze,JP,28.3667,129.4833,85.12,73,23,12.53,few clouds
190,Macapa,BR,0.0389,-51.0664,80.58,83,0,3.44,clear sky
191,Lorengau,PG,-2.0226,147.2712,85.48,66,15,10.67,few clouds
192,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,6.91,overcast clouds
193,Sable-Sur-Sarthe,FR,47.8376,-0.3329,59.76,89,100,5.97,overcast clouds
194,North Versailles,US,40.3798,-79.8095,52.92,82,16,3.0,few clouds
195,Torquay,GB,50.4638,-3.5143,51.67,78,91,3.47,overcast clouds
196,Koslan,RU,63.4564,48.8989,42.21,95,100,6.67,overcast clouds
197,Twentynine Palms,US,34.1356,-116.0542,81.86,42,4,5.57,clear sky
198,Zharkent,KZ,44.1628,80.0,60.08,19,7,0.22,clear sky
199,Solaro,IT,44.8799,9.1732,53.62,90,0,2.26,clear sky
200,Kavieng,PG,-2.5744,150.7967,85.41,67,14,8.77,few clouds
201,Talnakh,RU,69.4865,88.3972,31.21,94,100,13.42,light snow
202,Natal,BR,-5.795,-35.2094,75.42,88,40,5.75,scattered clouds
203,Chiredzi,ZW,-21.05,31.6667,65.8,64,0,3.74,clear sky
204,Qasigiannguit,GL,68.8193,-51.1922,34.05,92,99,4.54,overcast clouds
205,Palmer,US,42.1584,-72.3287,49.37,67,0,10.36,clear sky
206,Codrington,AU,-38.2667,141.9667,61.68,79,64,8.16,broken clouds
207,Anadyr,RU,64.75,177.4833,34.3,69,75,8.95,broken clouds
208,Kamenka,RU,51.3223,42.7678,62.89,56,100,25.84,overcast clouds
209,Batemans Bay,AU,-35.7167,150.1833,64.09,57,81,10.71,broken clouds
210,Bulawayo,ZW,-20.15,28.5833,61.03,40,0,4.92,clear sky
211,Estevan,CA,49.1334,-102.9842,44.94,56,29,4.88,scattered clouds
212,Birjand,IR,32.8663,59.2211,59.47,23,0,6.91,clear sky
213,Guhagar,IN,17.4842,73.1929,79.74,81,69,6.02,broken clouds
214,Faanui,PF,-16.4833,-151.75,79.0,73,2,15.28,clear sky
215,Praia,CV,14.9215,-23.5087,79.34,73,75,13.8,broken clouds
216,Hay River,CA,60.8156,-115.7999,39.18,87,20,2.3,few clouds
217,Beloha,MG,-25.1667,45.05,70.7,56,0,4.29,clear sky
218,Bonthe,SL,7.5264,-12.505,75.15,92,100,6.8,overcast clouds
219,Marsa Matruh,EG,31.3525,27.2453,76.08,60,0,13.49,clear sky
220,Salalah,OM,17.0151,54.0924,78.71,79,60,4.18,broken clouds
221,The Pas,CA,53.8251,-101.2541,55.42,82,0,9.22,clear sky
222,Brae,GB,60.3964,-1.353,53.49,94,75,15.84,broken clouds
223,Marawi,PH,7.9986,124.2928,79.07,76,100,1.19,overcast clouds
224,Mahebourg,MU,-20.4081,57.7,74.25,64,20,13.8,few clouds
225,Garden City,US,42.3256,-83.331,49.95,79,0,4.61,clear sky
226,Constitucion,CL,-35.3333,-72.4167,50.07,91,91,3.8,overcast clouds
227,Kasongo-Lunda,CD,-6.4667,16.8167,68.49,98,86,1.54,overcast clouds
