City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Svetlogorsk,BY,2022-10-02 22:56:49,52.6333,29.7333,43.47,93,100,22.32
1,Aktau,KZ,2022-10-02 22:56:49,43.65,51.2,59.58,25,67,26.73
2,Bambous Virieux,MU,2022-10-02 22:56:49,-20.3428,57.7575,71.22,73,20,10.36
3,Hilo,US,2022-10-02 22:55:20,19.7297,-155.09,88.29,77,0,4.0
4,Vaini,TO,2022-10-02 22:56:34,-21.2,-175.2,78.96,73,75,9.22
5,Mataura,NZ,2022-10-02 22:55:11,-46.1927,168.8643,47.48,89,72,9.93
6,Cherskiy,RU,2022-10-02 22:56:50,68.75,161.3,28.17,90,100,11.97
7,Rikitea,PF,2022-10-02 22:56:50,-23.1203,-134.9692,74.82,63,8,3.83
8,Bluff,NZ,2022-10-02 22:56:51,-46.6,168.3333,47.8,53,94,20.11
9,Hobart,AU,2022-10-02 22:52:07,-42.8794,147.3294,53.26,82,75,8.05
10,Fare,PF,2022-10-02 22:56:51,-16.7,-151.0167,78.78,71,63,12.82
11,Hermanus,ZA,2022-10-02 22:54:13,-34.4187,19.2345,57.49,82,5,11.45
12,Longyearbyen,SJ,2022-10-02 22:56:51,78.2186,15.6401,37.24,93,75,3.44
13,Caravelas,BR,2022-10-02 22:56:52,-17.7125,-39.2481,73.72,89,21,7.81
14,Ushuaia,AR,2022-10-02 22:56:52,-54.8,-68.3,46.06,53,0,4.61
15,Aqtobe,KZ,2022-10-02 22:56:52,50.2797,57.2072,35.69,51,0,6.71
16,Narsaq,GL,2022-10-02 22:56:53,60.9167,-46.05,33.03,62,40,3.83
17,Ribeira Grande,PT,2022-10-02 22:56:53,38.5167,-28.7,71.74,88,100,9.91
18,Roma,US,2022-10-02 22:55:13,43.2128,-75.4557,55.38,56,99,3.0
19,Kodiak,US,2022-10-02 22:56:53,57.79,-152.4072,50.7,73,93,12.57
20,Ustye,RU,2022-10-02 22:56:53,59.6304,39.736,43.54,96,100,5.73
21,Tiznit,MA,2022-10-02 22:56:54,29.5833,-9.5,74.91,37,0,2.37
22,Bredasdorp,ZA,2022-10-02 22:56:54,-34.5322,20.0403,52.32,92,16,6.2
23,Severo-Kurilsk,RU,2022-10-02 22:56:55,50.6789,156.125,47.55,64,97,10.18
24,Buncrana,IE,2022-10-02 22:56:55,55.1333,-7.45,53.37,87,89,5.21
25,Aimores,BR,2022-10-02 22:56:55,-19.4958,-41.0639,75.43,75,43,7.7
26,Otjiwarongo,NA,2022-10-02 22:56:55,-20.4637,16.6477,70.21,17,0,8.05
27,Maragogi,BR,2022-10-02 22:56:56,-9.0122,-35.2225,74.57,79,35,9.4
28,Butaritari,KI,2022-10-02 22:56:56,3.0707,172.7902,82.35,75,66,16.51
29,Vinh,VN,2022-10-02 22:56:56,18.6667,105.6667,74.7,93,89,4.52
30,Noyabrsk,RU,2022-10-02 22:56:57,63.1994,75.4507,30.9,75,100,15.57
31,Albany,US,2022-10-02 22:51:59,42.6001,-73.9662,52.39,65,100,8.5
32,Victoria,HK,2022-10-02 22:55:19,22.2855,114.1577,83.32,88,14,5.01
33,Jamestown,US,2022-10-02 22:55:44,42.097,-79.2353,53.53,79,20,10.36
34,Oum Hadjer,TD,2022-10-02 22:56:57,13.2954,19.6966,81.45,61,19,18.5
35,Castro,BR,2022-10-02 22:56:57,-24.7911,-50.0119,61.21,86,60,3.78
36,Port Alfred,ZA,2022-10-02 22:55:24,-33.5906,26.891,62.19,97,7,1.99
37,Muyezerskiy,RU,2022-10-02 22:56:58,63.9333,31.65,42.17,97,100,2.28
38,Pemba,MZ,2022-10-02 22:55:09,-12.974,40.5178,75.04,73,2,7.16
39,Port-Gentil,GA,2022-10-02 22:56:58,-0.7193,8.7815,78.76,89,75,6.91
40,Craig,US,2022-10-02 22:54:12,40.5153,-107.5464,60.42,30,87,13.0
41,Teya,RU,2022-10-02 22:56:59,60.3778,92.6267,29.75,85,100,4.5
42,Erzin,TR,2022-10-02 22:56:59,36.9559,36.2,72.5,82,24,2.1
43,Mountain Home,US,2022-10-02 22:55:21,43.133,-115.6912,72.88,23,0,0.0
44,Kaitangata,NZ,2022-10-02 22:56:59,-46.2817,169.8464,48.07,77,63,15.66
45,Saskylakh,RU,2022-10-02 22:58:00,71.9167,114.0833,26.33,94,100,13.87
46,Arraial Do Cabo,BR,2022-10-02 22:58:00,-22.9661,-42.0278,69.66,94,75,10.36
47,Bilma,NE,2022-10-02 22:58:00,18.6853,12.9164,90.32,12,0,7.36
48,Farim,GW,2022-10-02 22:58:00,12.4839,-15.2217,75.33,93,89,3.15
49,Qaanaaq,GL,2022-10-02 22:56:32,77.484,-69.3632,8.53,73,18,7.72
50,Atuona,PF,2022-10-02 22:58:01,-9.8,-139.0333,76.98,75,22,17.07
51,Brae,GB,2022-10-02 22:58:01,60.3964,-1.353,53.69,90,77,19.3
52,Cockburn Town,TC,2022-10-02 22:58:01,21.4612,-71.1419,83.5,72,99,4.83
53,Aksha,RU,2022-10-02 22:58:02,50.2814,113.2867,25.86,68,16,10.42
54,Bonavista,CA,2022-10-02 22:57:47,48.6499,-53.1147,46.45,60,93,15.88
55,Haines Junction,CA,2022-10-02 22:58:02,60.7522,-137.5108,58.95,31,63,14.97
56,East London,ZA,2022-10-02 22:55:08,-33.0153,27.9116,66.85,93,23,10.38
57,Sorland,NO,2022-10-02 22:58:03,67.667,12.6934,51.66,87,100,15.41
58,Hamilton,US,2022-10-02 22:53:30,39.1834,-84.5333,67.08,61,0,3.0
59,Carnarvon,AU,2022-10-02 22:56:37,-24.8667,113.6333,64.13,62,0,15.55
60,Lebu,CL,2022-10-02 22:58:03,-37.6167,-73.65,51.48,84,80,4.74
61,Znamenskoye,RU,2022-10-02 22:58:03,57.1281,73.8282,27.01,84,8,5.06
62,Barrow,US,2022-10-02 22:58:04,71.2906,-156.7887,26.62,80,75,13.8
63,Saint-Augustin,CA,2022-10-02 22:58:04,51.226,-58.6502,41.4,47,61,11.1
64,Khatanga,RU,2022-10-02 22:54:33,71.9667,102.5,24.19,96,100,10.87
65,Poronaysk,RU,2022-10-02 22:58:04,49.2167,143.1167,54.93,82,94,9.37
66,Labuhan,ID,2022-10-02 22:58:05,-6.8844,112.2051,78.51,83,94,7.65
67,Birao,CF,2022-10-02 22:58:05,10.2849,22.7882,69.91,91,100,2.08
68,Mayo,US,2022-10-02 22:58:05,38.8876,-76.5119,56.08,94,100,11.01
69,Cape Town,ZA,2022-10-02 22:57:07,-33.9258,18.4232,60.89,83,40,5.75
70,Taybad,IR,2022-10-02 22:58:06,34.74,60.7756,57.25,30,0,5.95
71,Kapaa,US,2022-10-02 22:58:06,22.0752,-159.319,83.19,80,85,7.0
72,Cayenne,GF,2022-10-02 22:58:06,4.9333,-52.3333,82.44,78,0,3.44
73,Juneau,US,2022-10-02 22:53:12,58.3019,-134.4197,52.11,100,41,1.86
74,Rundu,NA,2022-10-02 22:58:07,-17.9333,19.7667,69.91,21,0,5.64
75,Storforshei,NO,2022-10-02 22:58:07,66.4043,14.5233,49.66,93,100,2.3
76,Punta Arenas,CL,2022-10-02 22:55:15,-53.15,-70.9167,46.51,66,0,10.36
77,Mulchen,CL,2022-10-02 22:58:08,-37.7167,-72.2333,63.03,64,100,3.11
78,Shenjiamen,CN,2022-10-02 22:58:08,29.9576,122.298,78.13,87,0,20.02
79,Ambon,ID,2022-10-02 22:58:08,-3.6954,128.1814,78.94,89,20,3.44
80,Tilichiki,RU,2022-10-02 22:58:08,60.4667,166.1,35.44,75,100,5.93
81,Pevek,RU,2022-10-02 22:58:09,69.7008,170.3133,30.76,88,100,10.0
82,Buckingham,GB,2022-10-02 22:58:09,51.9997,-0.9878,50.83,77,45,3.04
83,Dingle,PH,2022-10-02 22:58:09,10.9995,122.6711,79.65,89,95,5.3
84,Kahului,US,2022-10-02 22:58:10,20.8947,-156.47,79.84,94,27,3.0
85,Makueni,KE,2022-10-02 22:58:10,-1.8041,37.6203,58.96,78,50,3.42
86,Bathsheba,BB,2022-10-02 22:58:10,13.2167,-59.5167,79.41,94,40,9.22
87,Buraydah,SA,2022-10-02 22:58:10,26.326,43.975,73.85,14,0,7.45
88,Saint-Philippe,RE,2022-10-02 22:58:11,-21.3585,55.7679,65.79,80,28,8.75
89,Busselton,AU,2022-10-02 22:58:11,-33.65,115.3333,52.18,62,62,8.99
90,Avarua,CK,2022-10-02 22:55:18,-21.2078,-159.775,77.05,61,62,21.85
91,Port Macquarie,AU,2022-10-02 22:59:11,-31.4333,152.9167,61.9,63,3,7.29
92,Cidreira,BR,2022-10-02 22:59:12,-30.1811,-50.2056,61.48,88,49,7.49
93,Yerbogachen,RU,2022-10-02 22:59:12,61.2767,108.0108,27.63,81,99,5.44
94,Ixtapa,MX,2022-10-02 22:59:12,20.7,-105.2,83.23,78,100,5.64
95,Dunedin,NZ,2022-10-02 22:54:35,-45.8742,170.5036,49.39,72,39,20.56
96,Faanui,PF,2022-10-02 22:59:13,-16.4833,-151.75,78.71,72,37,14.14
97,Ostrovnoy,RU,2022-10-02 22:59:13,68.0531,39.5131,35.13,84,56,10.22
98,Salalah,OM,2022-10-02 22:56:51,17.0151,54.0924,77.49,83,56,4.34
99,Touros,BR,2022-10-02 22:59:13,-5.1989,-35.4608,77.02,75,9,15.75
100,Hithadhoo,MV,2022-10-02 22:59:14,-0.6,73.0833,81.28,68,72,14.52
101,Dikson,RU,2022-10-02 22:56:30,73.5069,80.5464,30.56,94,100,20.76
102,Atar,MR,2022-10-02 22:59:14,20.5169,-13.0499,91.24,24,20,4.5
103,Alibag,IN,2022-10-02 22:59:14,18.6411,72.8792,80.67,81,20,5.7
104,Vestmannaeyjar,IS,2022-10-02 22:59:15,63.4427,-20.2734,50.99,94,100,21.03
105,Arco,IT,2022-10-02 22:59:15,45.9177,10.8867,61.39,97,1,3.91
106,Waiouru,NZ,2022-10-02 22:59:15,-39.4833,175.6667,50.4,96,100,2.8
107,Bethel,US,2022-10-02 22:59:16,41.3712,-73.414,53.85,59,100,5.01
108,Upernavik,GL,2022-10-02 22:59:16,72.7868,-56.1549,21.02,87,18,9.4
109,Pisco,PE,2022-10-02 22:58:22,-13.7,-76.2167,62.65,77,19,14.97
110,Charters Towers,AU,2022-10-02 22:59:16,-20.1,146.2667,76.71,57,82,11.12
111,Pontianak,ID,2022-10-02 22:59:17,-0.0333,109.3333,73.38,100,20,2.3
112,Miyako,JP,2022-10-02 22:59:17,39.6367,141.9525,67.44,80,100,8.16
113,Torbay,CA,2022-10-02 22:59:17,47.6666,-52.7314,46.58,74,75,8.05
114,Robertsport,LR,2022-10-02 22:59:18,6.7533,-11.3686,76.91,89,100,10.85
115,Flinders,AU,2022-10-02 22:58:24,-34.5833,150.8552,63.37,71,3,4.0
116,Las Juntas,MX,2022-10-02 22:59:18,19.4167,-104.7,71.58,97,100,4.14
117,Ponta Do Sol,PT,2022-10-02 22:59:18,32.6667,-17.1,70.43,80,24,3.8
118,Half Moon Bay,US,2022-10-02 22:59:19,37.4636,-122.4286,78.58,64,0,8.05
119,Makokou,GA,2022-10-02 22:59:19,0.5738,12.8642,68.0,97,78,2.95
120,Lorengau,PG,2022-10-02 22:59:19,-2.0226,147.2712,84.58,68,28,7.99
121,Thompson,CA,2022-10-02 22:59:05,55.7435,-97.8558,71.76,37,40,19.57
122,Omsukchan,RU,2022-10-02 22:56:40,62.5333,155.8,18.75,91,97,5.46
123,Moussoro,TD,2022-10-02 22:59:19,13.6408,16.4901,89.35,31,1,8.41
124,Saint-Joseph,RE,2022-10-02 22:59:20,-21.3667,55.6167,64.78,79,17,7.92
125,Grimshaw,CA,2022-10-02 22:59:20,56.1834,-117.6027,65.82,26,20,2.3
126,Yabelo,ET,2022-10-02 22:59:20,4.8833,38.0833,64.72,49,91,6.08
127,Puerto Ayora,EC,2022-10-02 22:55:07,-0.7393,-90.3518,73.36,91,85,4.0
128,Tuktoyaktuk,CA,2022-10-02 22:59:21,69.4541,-133.0374,26.6,80,100,6.91
129,Nushki,PK,2022-10-02 22:59:21,29.5542,66.0215,70.34,19,0,3.76
130,Nikolskoye,RU,2022-10-02 22:59:21,59.7035,30.7861,44.49,92,99,5.7
131,San Quintin,MX,2022-10-02 22:59:21,30.4833,-115.95,70.74,71,27,15.05
132,Paraiso,CR,2022-10-02 22:59:22,9.8383,-83.8656,69.71,98,100,2.08
133,Harper,LR,2022-10-02 22:59:22,4.375,-7.7169,75.97,90,98,7.14
134,Tiksi,RU,2022-10-02 22:59:22,71.6872,128.8694,24.1,90,100,8.48
135,Souillac,MU,2022-10-02 22:59:23,-20.5167,57.5167,70.18,73,20,10.36
136,Zaraza,VE,2022-10-02 23:00:23,9.3503,-65.3245,78.46,83,91,3.42
137,Cotacachi,EC,2022-10-02 23:00:23,0.3,-78.2667,59.11,68,80,6.04
138,Kaeo,NZ,2022-10-02 23:00:24,-35.1,173.7833,65.32,86,77,8.84
139,Mantua,IT,2022-10-02 23:00:24,45.1667,10.7833,63.64,86,17,1.01
140,Eastbourne,GB,2022-10-02 22:58:28,50.7687,0.2845,56.71,86,11,2.64
141,Si Racha,TH,2022-10-02 23:00:24,13.1737,100.9311,81.19,80,100,5.35
142,Cabo San Lucas,MX,2022-10-02 22:59:22,22.8909,-109.9124,93.61,61,84,6.8
143,Viedma,AR,2022-10-02 23:00:25,-40.8135,-62.9967,45.88,65,88,12.5
144,Cervo,ES,2022-10-02 23:00:25,43.6702,-7.4101,64.96,92,99,9.86
145,New Norfolk,AU,2022-10-02 23:00:26,-42.7826,147.0587,53.92,68,99,1.01
146,Oranjestad,AW,2022-10-02 22:58:28,12.524,-70.027,85.95,70,40,16.11
147,Yellowknife,CA,2022-10-02 23:00:26,62.456,-114.3525,46.92,57,75,20.71
148,Bengkulu,ID,2022-10-02 23:00:26,-3.8004,102.2655,74.73,91,100,5.14
149,Kamaishi,JP,2022-10-02 23:00:27,39.2667,141.8833,67.73,79,100,6.02
150,Jiangyou,CN,2022-10-02 23:00:27,31.7667,104.7167,71.44,92,100,6.29
151,Juybar,IR,2022-10-02 23:00:28,36.6412,52.9124,68.61,79,0,3.42
152,Balabac,PH,2022-10-02 23:00:28,7.9868,117.0645,81.39,80,100,9.62
153,Vagur,FO,2022-10-02 23:00:26,61.4732,-6.8119,51.8,88,79,27.56
154,Quebrangulo,BR,2022-10-02 23:00:28,-9.3189,-36.4711,65.84,95,1,6.87
155,Nuevo Progreso,MX,2022-10-02 23:00:29,23.1667,-97.95,82.54,66,50,10.07
156,Hanzhong,CN,2022-10-02 23:00:29,33.0728,107.0303,59.76,88,95,7.49
157,Tabou,CI,2022-10-02 23:00:30,4.423,-7.3528,75.7,92,88,6.22
158,Boddam,GB,2022-10-02 23:00:30,57.4667,-1.7833,54.48,75,80,9.6
159,Nouakchott,MR,2022-10-02 22:56:43,18.0858,-15.9785,80.53,67,4,13.44
160,Chuy,UY,2022-10-02 23:00:31,-33.6971,-53.4616,54.88,78,2,5.46
161,Karacabey,TR,2022-10-02 23:00:31,40.2152,28.4038,63.59,58,0,4.74
162,Georgetown,MY,2022-10-02 23:00:32,5.4112,100.3354,78.89,89,20,0.0
163,Ishigaki,JP,2022-10-02 22:56:21,24.3448,124.1572,78.93,83,20,8.05
164,Chokurdakh,RU,2022-10-02 23:00:32,70.6333,147.9167,19.81,80,76,8.25
165,Naze,JP,2022-10-02 23:00:32,28.3667,129.4833,77.97,69,11,9.15
166,Provideniya,RU,2022-10-02 22:56:25,64.3833,-173.3,39.36,81,40,11.18
167,Port Shepstone,ZA,2022-10-02 23:00:33,-30.7414,30.455,67.42,91,26,13.35
168,Whitehorse,CA,2022-10-02 23:00:33,60.7161,-135.0538,54.01,50,30,18.99
169,Guliston,UZ,2022-10-02 23:00:34,40.4897,68.7842,52.11,31,32,2.82
170,Ilulissat,GL,2022-10-02 23:00:34,69.2167,-51.1,30.22,93,75,4.61
171,Marseille,FR,2022-10-02 22:57:04,43.3333,5.5,65.88,60,100,15.28
172,Lavrentiya,RU,2022-10-02 23:00:35,65.5833,-171.0,39.16,72,26,11.03
173,Manono,CD,2022-10-02 23:00:35,-7.3,27.4167,73.13,74,87,2.48
174,Sao Filipe,CV,2022-10-02 22:56:03,14.8961,-24.4956,78.3,71,71,8.48
175,Muli,MV,2022-10-02 23:00:36,2.9167,73.5667,81.12,76,99,19.44
176,Rio Grande,BR,2022-10-02 22:55:40,-32.035,-52.0986,59.11,87,10,3.56
177,Kalmunai,LK,2022-10-02 23:00:36,7.4167,81.8167,81.14,64,100,11.36
178,Bafoulabe,ML,2022-10-02 23:00:36,13.8065,-10.8321,75.43,91,98,2.71
179,Borogontsy,RU,2022-10-02 23:00:37,62.6683,131.1683,22.28,87,83,7.34
180,Mar Del Plata,AR,2022-10-02 22:59:06,-38.0023,-57.5575,50.09,77,0,12.66
181,Grindavik,IS,2022-10-02 22:57:44,63.8424,-22.4338,51.75,100,75,21.85
182,Olga,RU,2022-10-02 23:01:37,43.7444,135.2892,58.91,87,100,2.17
183,Puerto Colombia,CO,2022-10-02 23:01:37,10.9878,-74.9547,83.39,77,31,15.12
184,Hede,CN,2022-10-02 23:01:38,33.7681,120.2517,78.8,77,79,6.93
185,Zhuhai,CN,2022-10-02 23:01:23,22.2769,113.5678,82.18,89,40,8.05
186,Constitucion,CL,2022-10-02 23:01:38,-35.3333,-72.4167,52.68,89,27,7.54
187,Abu Samrah,SY,2022-10-02 22:58:59,35.3029,37.1841,73.58,50,20,8.14
188,Itoman,JP,2022-10-02 23:01:38,26.1247,127.6694,80.62,78,20,1.14
189,Kasongo,CD,2022-10-02 23:01:39,-4.45,26.6667,69.21,93,99,2.84
